"","Year","Env","Line","GY","PH","HD","Can_Cover","NM_900","NM_975","Blue","Green","NDRE1","NDVI","NIR","RE1","RE2","Red","MTVI","NWI1"
"592",2020,"Lind","SWW15048-DH-3",53.22439514,29.85820204,137.1481243,41.43338649,47.23334177,42.19449262,17.12191287,21.35221541,0.14757372,0.23963333,39.47506566,25.30088311,40.32526189,22.68070546,0.011289702,-0.033946065
"593",2020,"Lind","SWW15048-DH-30",42.25718546,31.85306225,137.2273138,36.21381014,40.48015269,36.24670614,14.9332497,18.72692783,0.146669162,0.225612583,34.69394929,21.50625542,35.06878428,20.04870041,0.004702666,-0.036107904
"594",2020,"Lind","SWW15048-DH-31",48.91925542,31.85794982,139.2451313,23.04400159,28.19494662,25.1371894,10.54847242,12.09977998,0.149042374,0.242433968,24.73119737,14.29791409,25.98622922,13.36762541,0.001254212,-0.033301105
"595",2020,"Lind","SWW15048-DH-32",54.0897547,35.84765268,139.2462298,49.18678953,58.02842745,52.04395289,20.11731345,26.28004839,0.152463032,0.26216357,48.84204829,31.9679634,48.52772435,26.85050402,0.019418435,-0.031403368
"596",2020,"Lind","SWW15048-DH-35",43.45789004,30.8154179,138.20557,37.7159751,41.3030914,37.43662159,15.22972581,18.55326582,0.154547369,0.234002475,35.67157517,21.46394835,35.18364281,20.00760631,0.005712728,-0.037380514
"597",2020,"Lind","SWW15048-DH-37",43.58367766,31.76597935,143.2051265,49.63541112,57.88010204,51.68940191,19.48935622,25.2681442,0.155693706,0.268524695,48.4170528,30.73850623,47.21188744,26.14701322,0.020269268,-0.033778655
"598",2020,"Lind","SWW15048-DH-39",46.54954781,28.78216505,138.2524468,34.97028214,42.82112019,37.70795098,14.55481924,17.96555362,0.159076897,0.274574237,36.50983245,22.55780046,37.49250772,19.2069823,0.013069355,-0.030240783
"599",2020,"Lind","SWW15048-DH-40",55.3160194,29.7710515,141.1978929,54.24832765,59.23578598,53.19431951,20.95638627,27.18621746,0.152672626,0.243044119,49.54155162,32.50013558,48.78228247,28.0578726,0.016532641,-0.033861965
"600",2020,"Lind","SWW15048-DH-43",48.32859952,26.90256277,141.2616539,48.37367623,55.75944189,50.45671807,18.89104814,24.43157638,0.155308917,0.266724722,47.63131137,30.32369698,46.31167923,25.2832845,0.019212007,-0.029833713
"601",2020,"Lind","SWW15048-DH-44",34.97952429,27.80937431,136.279347,43.03574817,49.88279704,45.37235095,17.87576792,23.34086944,0.144318953,0.241382179,42.10149022,27.51999489,42.36445218,24.36330398,0.013539184,-0.023355034
"602",2020,"Lind","SWW15048-DH-7",34.62212186,27.89928055,142.1516108,31.85395551,36.64743414,33.90529425,13.56872027,16.73667174,0.142058396,0.230377176,30.63067182,18.99531957,32.66943299,17.93851753,0.006462218,-0.027994472
"603",2020,"Lind","SWW15048-DH-8",47.43329584,29.8172262,137.189226,37.6561654,42.19962585,37.84278353,16.14623875,19.823506,0.137263648,0.207743859,34.88300583,22.89272161,35.95083105,21.48059338,0.005110378,-0.030170339
"604",2020,"Lind","SWW15048-DH-9",38.21804242,30.86138993,136.1908037,49.13532582,54.51301333,49.58044246,19.97325396,25.90569201,0.143115934,0.230022414,46.19290142,30.16310928,46.09311688,27.00122529,0.014802069,-0.030094738
"605",2020,"Lind","SWW15055-DH-1",35.06062613,28.82614485,137.2354719,15.63359027,21.27296959,18.26155741,8.450647309,9.13577161,0.137428875,0.211053961,18.76068745,10.13204939,21.45259452,10.34208371,-0.004045533,-0.031458652
"606",2020,"Lind","SWW15055-DH-13",44.84557293,31.7726671,137.2198856,42.04848315,47.08350314,42.11264676,16.9427742,21.20903169,0.149445307,0.239822084,39.52102814,25.26467107,40.41596181,22.92058105,0.010650055,-0.033724223
"607",2020,"Lind","SWW15055-DH-14",38.71475709,29.71084909,135.2076468,29.67555722,36.72594432,32.0818424,12.79927701,15.8802745,0.145363183,0.237612323,31.71373926,19.27293917,32.38036195,17.37640303,0.005956203,-0.029575791
"608",2020,"Lind","SWW15055-DH-18",48.66239299,30.83390382,135.2787718,42.38954546,49.20875486,45.93893843,17.67967213,23.02232069,0.143923983,0.236621208,41.37239903,27.40413983,41.76608996,23.93310528,0.012874132,-0.029188588
"609",2020,"Lind","SWW15055-DH-19",61.06909477,32.86084271,137.2199694,62.04305564,69.51032054,63.61611669,23.03970037,29.80556932,0.166201315,0.286950303,58.70795951,37.50653622,55.92157441,30.59670276,0.029634251,-0.03338873
"610",2020,"Lind","SWW15055-DH-2",42.43859845,30.76490063,136.2474994,28.30809077,33.13854537,29.71426873,12.38150616,15.01988573,0.141120496,0.217461131,27.57400664,16.74638207,29.63491598,16.44396793,0.002093661,-0.030492328
"611",2020,"Lind","SWW15055-DH-20",30.99617984,26.84433971,143.2092248,17.37337274,24.48096103,21.32789324,9.019690867,10.40700056,0.134545936,0.222613597,21.59431594,12.58228399,23.60166698,11.58387379,-0.000646782,-0.02591413
"612",2020,"Lind","SWW15055-DH-21",41.84601533,26.73011534,137.2693622,17.67644917,22.44648616,19.64665837,8.907239245,9.877513412,0.134835357,0.198606432,19.56361395,11.07730226,22.75236151,11.81581541,-0.003563463,-0.031273258
"613",2020,"Lind","SWW15055-DH-29",41.31872616,29.73689953,136.2500552,28.40875273,33.99507635,29.17429977,11.83004181,14.63119356,0.147823949,0.243317778,28.63814594,17.57207703,30.65359497,15.767299,0.004743511,-0.031518754
"614",2020,"Lind","SWW15055-DH-3",45.76913381,30.85202903,137.2761227,50.48921437,56.28332199,51.23182751,19.79055953,25.95017614,0.149320627,0.241665687,47.04156963,30.32955759,46.22621167,26.91515937,0.015285177,-0.027987754
"615",2020,"Lind","SWW15055-DH-31",46.85621981,33.83316833,137.2307933,58.73382956,65.58607622,59.35931347,22.36592132,28.73347002,0.153593753,0.266179645,55.5483695,35.99591845,53.6373638,29.88545253,0.02604945,-0.028901275
"616",2020,"Lind","SWW15055-DH-35",39.65121993,32.81931089,139.2144967,28.14318383,34.85861006,31.42432018,12.52926603,15.14523423,0.136763432,0.234403084,29.21013901,18.40195609,31.41538205,16.82319006,0.006394454,-0.022452374
"617",2020,"Lind","SWW15055-DH-36",35.9801762,31.77664225,139.2774815,25.54488164,32.21410263,28.55715989,12.19542482,14.41182512,0.134644716,0.225202723,27.80724587,17.38723268,29.70764659,15.84926005,0.004286923,-0.02321741
"618",2020,"Lind","SWW15055-DH-37",44.10138232,30.69929855,136.2012741,44.38769548,50.40699705,45.43043636,18.17369627,22.78315522,0.146225786,0.251954353,42.79284668,28.10071941,43.50811194,23.97556985,0.016539203,-0.029667297
"619",2020,"Lind","SWW15055-DH-43",37.89841375,24.80450013,139.2469175,21.11830365,27.51514453,24.66035828,10.48927325,11.74683762,0.135273031,0.22850691,23.86076249,14.33494112,26.00989371,13.41318431,0.001631058,-0.021662721
"620",2020,"Lind","SWW15055-DH-44",31.55289522,30.84025958,137.2546462,13.66747972,17.67721217,16.83128106,7.462561944,8.058608786,0.121884566,0.199109661,16.71858155,8.729420762,19.37853271,9.37574188,-0.004615196,-0.013429408
"621",2020,"Lind","SWW15055-DH-47",36.21571498,24.91935104,136.2242772,18.91404519,22.72164183,21.00392196,9.03078336,9.526311829,0.14145407,0.215271719,19.9678763,11.7458635,22.71901687,11.55187199,-0.002045078,-0.026714319
"622",2020,"Lind","SWW15055-DH-50",55.54090842,31.81552642,137.2897007,49.19442483,55.4994574,49.79706651,19.80023154,24.98345478,0.150835207,0.250573188,46.95750118,30.21360229,46.27542656,26.1481538,0.017784748,-0.028704115
"623",2020,"Lind","SWW15055-DH-9",43.61777212,31.78522309,137.3108234,32.15457312,36.73469411,32.72862132,13.63397977,16.52876121,0.144493286,0.215504799,31.00462223,19.06871128,31.94225082,17.99801414,0.002181221,-0.03040175
"624",2020,"Lind","SWW15056-DH-11",46.80691755,33.83226655,141.2882909,61.65125479,66.33337089,59.57336768,22.63570069,29.29638616,0.157193734,0.259707067,55.10241482,35.36418891,53.26597632,30.34267082,0.023763058,-0.03148196
"625",2020,"Lind","SWW15056-DH-16",40.75551172,30.75024065,139.2359973,39.87105904,45.4272124,40.59610283,16.44244098,20.8649589,0.143214382,0.231434532,38.63418606,24.63418507,38.67935941,21.96953933,0.0106664,-0.027061573
"626",2020,"Lind","SWW15056-DH-17",36.71031915,28.77638047,137.2114851,31.40723915,36.66560469,32.21392319,12.78987325,15.07081963,0.154815514,0.261939594,31.37455094,18.17163732,32.15155175,16.60829659,0.008888426,-0.029303412
"627",2020,"Lind","SWW15056-DH-4",47.01955719,31.81744059,138.2922185,40.09473107,44.05278704,39.33598688,15.74630493,19.97721219,0.150824839,0.243276104,36.91316069,23.52056961,37.76451129,21.12654208,0.009956,-0.031041274
"628",2020,"Lind","SWW15056-DH-5",47.83947615,31.76362793,139.2470439,37.3408875,42.98188954,37.88058203,15.44795321,19.45468233,0.14474932,0.237610529,36.48235313,23.20343886,37.18158718,20.87478052,0.009570588,-0.028914819
